Timezone-aware_Timestamp,Variable,Value,Last_Modified_UTC
2024-06-29 00:00:00+00:00,492,14.786654766593571,2024-06-29 00:00:00+00:00
2024-06-29 00:05:00+00:00,158,41.590191182905,2024-06-29 00:00:00+00:00
2024-06-29 00:10:00+00:00,56,13.477112525184609,2024-06-29 00:00:00+00:00
2024-06-29 00:15:00+00:00,828,-49.26356025265382,2024-06-29 00:00:00+00:00
2024-06-29 00:20:00+00:00,526,-46.77119042989333,2024-06-29 00:00:00+00:00
2024-06-29 00:25:00+00:00,388,-37.009491547734584,2024-06-29 00:00:00+00:00
2024-06-29 00:30:00+00:00,898,-28.52836591569925,2024-06-29 00:00:00+00:00
2024-06-29 00:35:00+00:00,252,37.052141450997624,2024-06-29 00:00:00+00:00
2024-06-29 00:40:00+00:00,899,1.7102982485375549,2024-06-29 00:00:00+00:00
2024-06-29 00:45:00+00:00,155,0.0294239521330581,2024-06-29 00:00:00+00:00
2024-06-29 00:50:00+00:00,27,-26.55792151840506,2024-06-29 00:00:00+00:00
2024-06-29 00:55:00+00:00,35,17.770545652697578,2024-06-29 00:00:00+00:00
2024-06-29 01:00:00+00:00,296,-37.16519047020688,2024-06-29 00:00:00+00:00
2024-06-29 01:05:00+00:00,188,-40.02816986867658,2024-06-29 00:00:00+00:00
2024-06-29 01:10:00+00:00,256,-32.98824455431871,2024-06-29 00:00:00+00:00
2024-06-29 01:15:00+00:00,121,-41.156499166357904,2024-06-29 00:00:00+00:00
2024-06-29 01:20:00+00:00,328,36.40655722379921,2024-06-29 00:00:00+00:00
2024-06-29 01:25:00+00:00,190,2.830800519997659,2024-06-29 00:00:00+00:00
2024-06-29 01:30:00+00:00,537,-30.48326841107872,2024-06-29 00:00:00+00:00
2024-06-29 01:35:00+00:00,748,41.689657926038265,2024-06-29 00:00:00+00:00
2024-06-29 01:40:00+00:00,365,-18.438316856333024,2024-06-29 00:00:00+00:00
2024-06-29 01:45:00+00:00,125,-39.60456684830245,2024-06-29 00:00:00+00:00
2024-06-29 01:50:00+00:00,841,-6.724343971995808,2024-06-29 00:00:00+00:00
2024-06-29 01:55:00+00:00,861,-44.60932635023879,2024-06-29 00:00:00+00:00
2024-06-29 02:00:00+00:00,451,-26.056925560463085,2024-06-29 00:00:00+00:00
2024-06-29 02:05:00+00:00,676,-40.89421435127595,2024-06-29 00:00:00+00:00
2024-06-29 02:10:00+00:00,551,-12.955843858181003,2024-06-29 00:00:00+00:00
2024-06-29 02:15:00+00:00,269,-44.86872819924835,2024-06-29 00:00:00+00:00
2024-06-29 02:20:00+00:00,555,-7.260244113827284,2024-06-29 00:00:00+00:00
2024-06-29 02:25:00+00:00,299,31.486835097753,2024-06-29 00:00:00+00:00
2024-06-29 02:30:00+00:00,875,-9.101178149838615,2024-06-29 00:00:00+00:00
2024-06-29 02:35:00+00:00,353,39.8852781817957,2024-06-29 00:00:00+00:00
2024-06-29 02:40:00+00:00,586,-15.392409852213817,2024-06-29 00:00:00+00:00
2024-06-29 02:45:00+00:00,879,-2.9540971878979008,2024-06-29 00:00:00+00:00
2024-06-29 02:50:00+00:00,552,22.91869948867354,2024-06-29 00:00:00+00:00
2024-06-29 02:55:00+00:00,151,2.7133116653421183,2024-06-29 00:00:00+00:00
2024-06-29 03:00:00+00:00,994,19.54912476398198,2024-06-29 00:00:00+00:00
2024-06-29 03:05:00+00:00,848,17.774140776784222,2024-06-29 00:00:00+00:00
